messageId,name,userId,anonymousId,category,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,location,sponsored_listing,event_type
ajs-next-1769902439357-8bddf052-f3e3-45eb-bec0-6684abcb8bc8,business_profile,,ddf052f3-e315-4bfe-8066-84abcb8bc861,profile,2026-01-31 23:33:59.357000+00:00,"Mozilla/5.0 (Linux; Android 11; moto g power (2022)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36",/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,"[{'brand': 'Chromium', 'version': '137'}, {'brand': 'Google Chrome', 'version': '137'}]",True,Android,/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,1748365021326x105262688542451250,profile,business_profile,,,page
ajs-next-1769907824854-5abd4985-91a4-4809-b337-4cc8b0a2ab4f,start,,bd498591-a4f8-49f3-b74c-c8b0a2ab4f1b,start,2026-02-01 01:03:44.854000+00:00,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,,,page
ajs-next-1769911103774-a6530619-2aad-4df8-8551-33a6cd58bfa0,,,7ab928c4-3648-44ad-9376-500b7c4a15bd,,2026-02-01 01:58:23.774000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,1744579851707x640487742075829500,,,main_list,true,impression
ajs-next-1769911104287-0df84551-33a6-4d58-bfa0-ac77c9a867b6,,,7ab928c4-3648-44ad-9376-500b7c4a15bd,,2026-02-01 01:58:24.287000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,"1743549178851x847080663521240200, 1753985929691x853149258569598100, 1744907031541x119079844893356540, 1747183179554x540122160625888100, 1745533127765x291393362647413700, 1753911193017x504194995643152640, 1744282156200x727555159743162000, 1761919898226x928695665795906700, 1758120880051x675194275556497400, 1749173974503x736079030141835600, 1744643921578x315333816253624100, 1752182630575x854371423894944000, 1750784029587x963255839088365200, 1749057953945x756346430245684600, 1747165674437x491901038958021200, 1761930377989x951815782791809400, 1746548006831x128230088489826860, 1747415704843x665338483592092500, 1763255155587x707008769292458900, 1750783674403x491887953737125700, 1744398484109x785674167096991400, 1763305551668x997299018011994600, 1744319857648x144922844539837200, 1746631267951x741803061642879500, 1763672237927x725969385673238800, 1754624056001x759184470890143000, 1765991015203x350068785849064760, 1744335958024x226211831616957250, 1744751205492x235134337285239230, 1747184079669x994211808429350800, 1763148950401x545361905340972600, 1754505203290x671062062407191900, 1750423781412x480534435350699700, 1744736810207x919925185055488400, 1746765568691x979794717919274100, 1755533063776x956164571796881400, 1751749348389x952656707958261400, 1765399408996x262641226191956400, 1749068120323x412920063824988600, 1760458225389x690604949380638100, 1761762460002x434978052003146300, 1746855895334x711816173120128000, 1753374338412x209529915103450200, 1745528732739x896561533370513300, 1747848709032x210920410073364830, 1754081360962x724252535884739300, 1766070455303x639821695383855700, 1766011883106x917993758751800300, 1747216018889x770977089491677400, 1751319669665x621437589169731200, 1759153763139x433792388290277000, 1764963280733x431041418968701760, 1765001972595x338020444395840100, 1750785338983x949958887494882000, 1768426055630x579798080961828200, 1747163465846x476237095610093000, 1755621956288x571897163769246900, 1759423986281x805514757919405700, 1753465897836x101289632151690960, 1754084205128x675147807630683600, 1753135741395x558904608479141570, 1769635123521x385801932800474700, 1744737250347x219277345743008400, 1757720364741x595714121363069200, 1764342295066x618134664283571500, 1768844277981x664142917381285000, 1750783679107x801419812763124500, 1744740154739x566945822952470660, 1762271200864x775090106640580500, 1762364811793x796217509980630800, 1749742920378x965836759111504900, 1748365021326x105262688542451250, 1768238584049x399775147114029200, 1763569204895x378265538177280400, 1747185390251x665604546429507900, 1751744301621x758526182685981300, 1744743906400x631087870982087000, 1744748222708x779656090283929300, 1744760380914x558772773612561600, 1761044854709x307607562836745150, 1748389292320x918627677903932400, 1757369121056x350487849823425600, 1758312173588x895819358343598700, 1746635677548x343522492232585660, 1747420152884x437771544876149700, 1745597587022x519433479989605000, 1743547621069x279645472884266780, 1746467711533x453074785848415400, 1744134674881x127285411168640110, 1754949567759x639105313824555300, 1744175271939x575064790204550460, 1768427614253x929508274229176300, 1746843461447x686795565273950000, 1752687366861x422755081931784260, 1751402056748x637551618886434600, 1768584016102x834619843946063900, 1764893879099x465248075524681500, 1758568877707x715638242996164100, 1747864432460x772931238395911000, 1744579851707x640487742075829500, 1769719058268x843927058977011000, 1748581534531x956271769254002200, 1764781838221x716772635359430500, 1750436264420x989591292213482400, 1749580724532x760028975589297300, 1746827109704x963221719337950200, 1747827548541x313848517899538500, 1763408145585x201322720695875870, 1744157592334x292550965261606100, 1747398900475x598159844147748100, 1757355028996x505189727810192200, 1744391553368x301043576290850300, 1763509156539x144450665564595840, 1754941249648x796792188496967000, 1747170561218x640297169073643000, 1759930025997x126109694575208930, 1752717497153x537286585580736960, 1761762406893x958878656538368500, 1750784475796x702583457937545900, 1744260813114x505427712482621440, 1751425811600x127124815802215140, 1755271286521x378031808974615550, 1747221865162x703532834449508000, 1757438153395x416809556103947500, 1762957766158x632118084948257900, 1762889659042x996969350831174300, 1764711530894x480989914892320700, 1744397288473x909294892772270800, 1753982403438x535213824960417500, 1754927931120x470668069008822300, 1768581853937x610498789092930300, 1751224250248x539537516841198200, 1758147388607x898014240790697700, 1746938798847x931997689495082400, 1760118921086x941497076227920600, 1753909381745x872991521395046100, 1745273541628x945470626229355500, 1757437593796x460281345015416640, 1747594874125x270237571814453630",,,,false,impression
ajs-next-1769911104352-455133a6-cd58-4fa0-ac77-c9a867b65f4e,,,7ab928c4-3648-44ad-9376-500b7c4a15bd,,2026-02-01 01:58:24.352000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,1744579851707x640487742075829500,,,main_list,true,impression
ajs-next-1769911103268-338c711e-a653-4619-aaad-0df8455133a6,,,7ab928c4-3648-44ad-9376-500b7c4a15bd,,2026-02-01 01:58:23.268000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,,,sidebar,true,impression
ajs-next-1769911104066-06192aad-0df8-4551-b3a6-cd58bfa0ac77,,,7ab928c4-3648-44ad-9376-500b7c4a15bd,,2026-02-01 01:58:24.066000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,1744579851707x640487742075829500,,,main_list,true,impression
ajs-next-1769911094339-8b7ab928-c436-48a4-ad13-76500b7c4a15,business_profile,,7ab928c4-3648-44ad-9376-500b7c4a15bd,profile,2026-02-01 01:58:14.338000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/business_profile/wild-goose-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-1750436264420x989591292213482400,,,,/business_profile/wild-goose-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-1750436264420x989591292213482400,1750436264420x989591292213482400,profile,business_profile,,,page
ajs-next-1769911104572-33a6cd58-bfa0-4c77-89a8-67b65f4e5927,,,7ab928c4-3648-44ad-9376-500b7c4a15bd,,2026-02-01 01:58:24.572000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,"1743549178851x847080663521240200, 1753985929691x853149258569598100, 1744907031541x119079844893356540, 1747183179554x540122160625888100, 1745533127765x291393362647413700, 1753911193017x504194995643152640, 1744282156200x727555159743162000, 1761919898226x928695665795906700, 1758120880051x675194275556497400, 1749173974503x736079030141835600, 1744643921578x315333816253624100, 1752182630575x854371423894944000, 1750784029587x963255839088365200, 1749057953945x756346430245684600, 1747165674437x491901038958021200, 1761930377989x951815782791809400, 1746548006831x128230088489826860, 1747415704843x665338483592092500, 1763255155587x707008769292458900, 1750783674403x491887953737125700, 1744398484109x785674167096991400, 1763305551668x997299018011994600, 1744319857648x144922844539837200, 1746631267951x741803061642879500, 1763672237927x725969385673238800, 1754624056001x759184470890143000, 1765991015203x350068785849064760, 1744335958024x226211831616957250, 1744751205492x235134337285239230, 1747184079669x994211808429350800, 1763148950401x545361905340972600, 1754505203290x671062062407191900, 1750423781412x480534435350699700, 1744736810207x919925185055488400, 1746765568691x979794717919274100, 1755533063776x956164571796881400, 1751749348389x952656707958261400, 1765399408996x262641226191956400, 1749068120323x412920063824988600, 1760458225389x690604949380638100, 1761762460002x434978052003146300, 1746855895334x711816173120128000, 1753374338412x209529915103450200, 1745528732739x896561533370513300, 1747848709032x210920410073364830, 1754081360962x724252535884739300, 1766070455303x639821695383855700, 1766011883106x917993758751800300, 1747216018889x770977089491677400, 1751319669665x621437589169731200, 1759153763139x433792388290277000, 1764963280733x431041418968701760, 1765001972595x338020444395840100, 1750785338983x949958887494882000, 1768426055630x579798080961828200, 1747163465846x476237095610093000, 1755621956288x571897163769246900, 1759423986281x805514757919405700, 1753465897836x101289632151690960, 1754084205128x675147807630683600, 1753135741395x558904608479141570, 1769635123521x385801932800474700, 1744737250347x219277345743008400, 1757720364741x595714121363069200, 1764342295066x618134664283571500, 1768844277981x664142917381285000, 1750783679107x801419812763124500, 1744740154739x566945822952470660, 1762271200864x775090106640580500, 1762364811793x796217509980630800, 1749742920378x965836759111504900, 1748365021326x105262688542451250, 1768238584049x399775147114029200, 1763569204895x378265538177280400, 1747185390251x665604546429507900, 1751744301621x758526182685981300, 1744743906400x631087870982087000, 1744748222708x779656090283929300, 1744760380914x558772773612561600, 1761044854709x307607562836745150, 1748389292320x918627677903932400, 1757369121056x350487849823425600, 1758312173588x895819358343598700, 1746635677548x343522492232585660, 1747420152884x437771544876149700, 1745597587022x519433479989605000, 1743547621069x279645472884266780, 1746467711533x453074785848415400, 1744134674881x127285411168640110, 1754949567759x639105313824555300, 1744175271939x575064790204550460, 1768427614253x929508274229176300, 1746843461447x686795565273950000, 1752687366861x422755081931784260, 1751402056748x637551618886434600, 1768584016102x834619843946063900, 1764893879099x465248075524681500, 1758568877707x715638242996164100, 1747864432460x772931238395911000, 1744579851707x640487742075829500, 1769719058268x843927058977011000, 1748581534531x956271769254002200, 1764781838221x716772635359430500, 1750436264420x989591292213482400, 1749580724532x760028975589297300, 1746827109704x963221719337950200, 1747827548541x313848517899538500, 1763408145585x201322720695875870, 1744157592334x292550965261606100, 1747398900475x598159844147748100, 1757355028996x505189727810192200, 1744391553368x301043576290850300, 1763509156539x144450665564595840, 1754941249648x796792188496967000, 1747170561218x640297169073643000, 1759930025997x126109694575208930, 1752717497153x537286585580736960, 1761762406893x958878656538368500, 1750784475796x702583457937545900, 1744260813114x505427712482621440, 1751425811600x127124815802215140, 1755271286521x378031808974615550, 1747221865162x703532834449508000, 1757438153395x416809556103947500, 1762957766158x632118084948257900, 1762889659042x996969350831174300, 1764711530894x480989914892320700, 1744397288473x909294892772270800, 1753982403438x535213824960417500, 1754927931120x470668069008822300, 1768581853937x610498789092930300, 1751224250248x539537516841198200, 1758147388607x898014240790697700, 1746938798847x931997689495082400, 1760118921086x941497076227920600, 1753909381745x872991521395046100, 1745273541628x945470626229355500, 1757437593796x460281345015416640, 1747594874125x270237571814453630",,,,false,impression
ajs-next-1769911104594-cd58bfa0-ac77-49a8-a7b6-5f4e5927a052,,,7ab928c4-3648-44ad-9376-500b7c4a15bd,,2026-02-01 01:58:24.594000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,"1743549178851x847080663521240200, 1753985929691x853149258569598100, 1744907031541x119079844893356540, 1747183179554x540122160625888100, 1745533127765x291393362647413700, 1753911193017x504194995643152640, 1744282156200x727555159743162000, 1761919898226x928695665795906700, 1758120880051x675194275556497400, 1749173974503x736079030141835600, 1744643921578x315333816253624100, 1752182630575x854371423894944000, 1750784029587x963255839088365200, 1749057953945x756346430245684600, 1747165674437x491901038958021200, 1761930377989x951815782791809400, 1746548006831x128230088489826860, 1747415704843x665338483592092500, 1763255155587x707008769292458900, 1750783674403x491887953737125700, 1744398484109x785674167096991400, 1763305551668x997299018011994600, 1744319857648x144922844539837200, 1746631267951x741803061642879500, 1763672237927x725969385673238800, 1754624056001x759184470890143000, 1765991015203x350068785849064760, 1744335958024x226211831616957250, 1744751205492x235134337285239230, 1747184079669x994211808429350800, 1763148950401x545361905340972600, 1754505203290x671062062407191900, 1750423781412x480534435350699700, 1744736810207x919925185055488400, 1746765568691x979794717919274100, 1755533063776x956164571796881400, 1751749348389x952656707958261400, 1765399408996x262641226191956400, 1749068120323x412920063824988600, 1760458225389x690604949380638100, 1761762460002x434978052003146300, 1746855895334x711816173120128000, 1753374338412x209529915103450200, 1745528732739x896561533370513300, 1747848709032x210920410073364830, 1754081360962x724252535884739300, 1766070455303x639821695383855700, 1766011883106x917993758751800300, 1747216018889x770977089491677400, 1751319669665x621437589169731200, 1759153763139x433792388290277000, 1764963280733x431041418968701760, 1765001972595x338020444395840100, 1750785338983x949958887494882000, 1768426055630x579798080961828200, 1747163465846x476237095610093000, 1755621956288x571897163769246900, 1759423986281x805514757919405700, 1753465897836x101289632151690960, 1754084205128x675147807630683600, 1753135741395x558904608479141570, 1769635123521x385801932800474700, 1744737250347x219277345743008400, 1757720364741x595714121363069200, 1764342295066x618134664283571500, 1768844277981x664142917381285000, 1750783679107x801419812763124500, 1744740154739x566945822952470660, 1762271200864x775090106640580500, 1762364811793x796217509980630800, 1749742920378x965836759111504900, 1748365021326x105262688542451250, 1768238584049x399775147114029200, 1763569204895x378265538177280400, 1747185390251x665604546429507900, 1751744301621x758526182685981300, 1744743906400x631087870982087000, 1744748222708x779656090283929300, 1744760380914x558772773612561600, 1761044854709x307607562836745150, 1748389292320x918627677903932400, 1757369121056x350487849823425600, 1758312173588x895819358343598700, 1746635677548x343522492232585660, 1747420152884x437771544876149700, 1745597587022x519433479989605000, 1743547621069x279645472884266780, 1746467711533x453074785848415400, 1744134674881x127285411168640110, 1754949567759x639105313824555300, 1744175271939x575064790204550460, 1768427614253x929508274229176300, 1746843461447x686795565273950000, 1752687366861x422755081931784260, 1751402056748x637551618886434600, 1768584016102x834619843946063900, 1764893879099x465248075524681500, 1758568877707x715638242996164100, 1747864432460x772931238395911000, 1744579851707x640487742075829500, 1769719058268x843927058977011000, 1748581534531x956271769254002200, 1764781838221x716772635359430500, 1750436264420x989591292213482400, 1749580724532x760028975589297300, 1746827109704x963221719337950200, 1747827548541x313848517899538500, 1763408145585x201322720695875870, 1744157592334x292550965261606100, 1747398900475x598159844147748100, 1757355028996x505189727810192200, 1744391553368x301043576290850300, 1763509156539x144450665564595840, 1754941249648x796792188496967000, 1747170561218x640297169073643000, 1759930025997x126109694575208930, 1752717497153x537286585580736960, 1761762406893x958878656538368500, 1750784475796x702583457937545900, 1744260813114x505427712482621440, 1751425811600x127124815802215140, 1755271286521x378031808974615550, 1747221865162x703532834449508000, 1757438153395x416809556103947500, 1762957766158x632118084948257900, 1762889659042x996969350831174300, 1764711530894x480989914892320700, 1744397288473x909294892772270800, 1753982403438x535213824960417500, 1754927931120x470668069008822300, 1768581853937x610498789092930300, 1751224250248x539537516841198200, 1758147388607x898014240790697700, 1746938798847x931997689495082400, 1760118921086x941497076227920600, 1753909381745x872991521395046100, 1745273541628x945470626229355500, 1757437593796x460281345015416640, 1747594874125x270237571814453630",,,,false,impression
ajs-next-1769911103559-711ea653-0619-4aad-8df8-455133a6cd58,,,7ab928c4-3648-44ad-9376-500b7c4a15bd,,2026-02-01 01:58:23.559000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,,,sidebar,true,impression
ajs-next-1769911104209-2aad0df8-4551-43a6-8d58-bfa0ac77c9a8,,,7ab928c4-3648-44ad-9376-500b7c4a15bd,,2026-02-01 01:58:24.209000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,1744579851707x640487742075829500,,,main_list,true,impression
ajs-next-1769911102761-70d8338c-711e-4653-8619-2aad0df84551,search,,7ab928c4-3648-44ad-9376-500b7c4a15bd,search,2026-02-01 01:58:22.761000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,search,search,,,page
ajs-next-1769934790364-68259c7e-3f37-4f89-819f-71d5253f38ee,,,c0f46825-9c7e-4f37-8f89-c19f71d5253f,,2026-02-01 08:33:10.364000+00:00,"Mozilla/5.0 (Linux; Android 10; HUAWEI P30 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,"1743549178851x847080663521240200, 1753982403438x535213824960417500, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1753374338412x209529915103450200",,,,true,impression
ajs-next-1769934790356-89c0f468-259c-4e3f-b70f-89c19f71d525,index,,c0f46825-9c7e-4f37-8f89-c19f71d5253f,index,2026-02-01 08:33:10.355000+00:00,"Mozilla/5.0 (Linux; Android 10; HUAWEI P30 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,page
ajs-next-1769934794809-9c7e3f37-0f89-419f-b1d5-253f38ee055c,,,c0f46825-9c7e-4f37-8f89-c19f71d5253f,,2026-02-01 08:33:14.809000+00:00,"Mozilla/5.0 (Linux; Android 10; HUAWEI P30 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,"1743549178851x847080663521240200, 1753982403438x535213824960417500, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1753374338412x209529915103450200",,,,true,impression
ajs-next-1769972554609-05e5cf5e-ace7-4acd-8b0f-640fdc5c7cd2,,,61d105e5-cf5e-4ce7-bacd-cb0f640fdc5c,,2026-02-01 19:02:34.609000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21A351 [FBAN/FBIOS;FBAV/537.0.0.32.82;FBBV/813851951;FBDV/iPhone14,3;FBMD/iPhone;FBSN/iOS;FBSV/17.0.2;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/821110070]",/,https://www.facebook.com/,?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEedILa244wfdF6wEzkqLosnFq5bdIzZCO6vm4a6lK5iLTQCXhIqE4lYmFwMic_aem_ZbdaFi1wQl_cWdUIwt6hMQ,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEedILa244wfdF6wEzkqLosnFq5bdIzZCO6vm4a6lK5iLTQCXhIqE4lYmFwMic_aem_ZbdaFi1wQl_cWdUIwt6hMQ,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Linux,,,,,,"1753374338412x209529915103450200, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1743547621069x279645472884266780",,,,true,impression
ajs-next-1769972555120-cf5eace7-facd-4b0f-a40f-dc5c7cd21b87,,,61d105e5-cf5e-4ce7-bacd-cb0f640fdc5c,,2026-02-01 19:02:35.120000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21A351 [FBAN/FBIOS;FBAV/537.0.0.32.82;FBBV/813851951;FBDV/iPhone14,3;FBMD/iPhone;FBSN/iOS;FBSV/17.0.2;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/821110070]",/,https://www.facebook.com/,?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEedILa244wfdF6wEzkqLosnFq5bdIzZCO6vm4a6lK5iLTQCXhIqE4lYmFwMic_aem_ZbdaFi1wQl_cWdUIwt6hMQ,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEedILa244wfdF6wEzkqLosnFq5bdIzZCO6vm4a6lK5iLTQCXhIqE4lYmFwMic_aem_ZbdaFi1wQl_cWdUIwt6hMQ,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Linux,,,,,,"1753374338412x209529915103450200, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1743547621069x279645472884266780",,,,true,impression
ajs-next-1769972554602-a761d105-e5cf-4eac-a7fa-cdcb0f640fdc,index,,61d105e5-cf5e-4ce7-bacd-cb0f640fdc5c,index,2026-02-01 19:02:34.602000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21A351 [FBAN/FBIOS;FBAV/537.0.0.32.82;FBBV/813851951;FBDV/iPhone14,3;FBMD/iPhone;FBSN/iOS;FBSV/17.0.2;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/821110070]",/,https://www.facebook.com/,?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEedILa244wfdF6wEzkqLosnFq5bdIzZCO6vm4a6lK5iLTQCXhIqE4lYmFwMic_aem_ZbdaFi1wQl_cWdUIwt6hMQ,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEedILa244wfdF6wEzkqLosnFq5bdIzZCO6vm4a6lK5iLTQCXhIqE4lYmFwMic_aem_ZbdaFi1wQl_cWdUIwt6hMQ,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Linux,/,https://www.facebook.com/,?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEedILa244wfdF6wEzkqLosnFq5bdIzZCO6vm4a6lK5iLTQCXhIqE4lYmFwMic_aem_ZbdaFi1wQl_cWdUIwt6hMQ,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEedILa244wfdF6wEzkqLosnFq5bdIzZCO6vm4a6lK5iLTQCXhIqE4lYmFwMic_aem_ZbdaFi1wQl_cWdUIwt6hMQ,,index,index,,,page
ajs-next-1769983815144-f6576e5e-47ac-49c5-b301-96f92262d893,,1764893879099x465248075524681500,46f3c9ba-52f4-4653-a34b-a00964e08cad,,2026-02-01 22:10:15.144000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",True,Android,,,,,,"1744335958024x226211831616957250, 1743549178851x847080663521240200, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1753374338412x209529915103450200, 1743547621069x279645472884266780, 1744579851707x640487742075829500",,,,true,impression
