category,originalTimestamp,messageId,name,userId,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,location,sponsored_listing,search_text,button_name,city,parish,traits,event_type
about_us,2026-04-28 23:10:04.362000+00:00,ajs-next-1777417804362-016940e2-b4ba-4be1-94c2-1bf29dcb1f81,about_us,,6940e2b4-baeb-41d4-821b-f29dcb1f8140,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1777359057281x365955106598046400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1777359057281x365955106598046400,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,/about_us/1777359057281x365955106598046400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1777359057281x365955106598046400,about_us,about_us,,,,,,,,,page
how_it_works,2026-04-29 00:05:48.311000+00:00,ajs-next-1777421148311-03f084c9-ca74-4bb3-a8c5-1af4e13f5da3,how_it_works,,f084c9ca-745b-4328-851a-f4e13f5da3f3,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1777328111300x172174201776004380,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1777328111300x172174201776004380,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,/how_it_works/1777328111300x172174201776004380,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1777328111300x172174201776004380,how_it_works,how_it_works,,,,,,,,,page
how_it_works,2026-04-29 00:50:43.655000+00:00,ajs-next-1777423843655-0a227e35-4291-48a7-b2f0-0d889faeb704,how_it_works,,227e3542-91f8-47f2-b00d-889faeb70486,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1777368507988x555201192688502100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1777368507988x555201192688502100,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,/how_it_works/1777368507988x555201192688502100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1777368507988x555201192688502100,how_it_works,how_it_works,,,,,,,,,page
about_us,2026-04-29 01:08:23.763000+00:00,ajs-next-1777424903763-482af3a1-e43d-40ef-9af5-3bb2a5251c19,about_us,,2af3a1e4-3dd0-4f1a-b53b-b2a5251c196c,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1777368507988x555201192688502100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1777368507988x555201192688502100,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,/about_us/1777368507988x555201192688502100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1777368507988x555201192688502100,about_us,about_us,,,,,,,,,page
how_it_works,2026-04-29 01:23:01.678000+00:00,ajs-next-1777425781678-42eccb33-dc4a-49fc-83e7-d73a0d8ce15b,how_it_works,,eccb33dc-4a99-4cc3-a7d7-3a0d8ce15be1,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1777412312792x849377024908369900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1777412312792x849377024908369900,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,/how_it_works/1777412312792x849377024908369900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1777412312792x849377024908369900,how_it_works,how_it_works,,,,,,,,,page
about_us,2026-04-29 03:06:11.686000+00:00,ajs-next-1777431971686-15eb7884-5b20-403c-aa8c-1a859b063b13,about_us,,eb78845b-2070-4c2a-8c1a-859b063b1380,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1777363326997x352490789782438700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1777363326997x352490789782438700,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,/about_us/1777363326997x352490789782438700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1777363326997x352490789782438700,about_us,about_us,,,,,,,,,page
how_it_works,2026-04-29 03:16:26.987000+00:00,ajs-next-1777432586987-6d4349f6-402b-4085-90cd-e81ff9e7edd9,how_it_works,,4349f640-2b30-4590-8de8-1ff9e7edd9e6,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/solomon-l-carrico-maker-craftsman-artist-1748389292320x918627677903932400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/solomon-l-carrico-maker-craftsman-artist-1748389292320x918627677903932400,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,/how_it_works/solomon-l-carrico-maker-craftsman-artist-1748389292320x918627677903932400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/solomon-l-carrico-maker-craftsman-artist-1748389292320x918627677903932400,how_it_works,how_it_works,,,,,,,,,page
index,2026-04-29 03:16:34.400000+00:00,ajs-next-1777432594400-7d292eba-53dd-4744-8741-e70cb52674dc,index,,c10bfa9e-b7d5-4cd8-87ab-409813d2b97d,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,page
,2026-04-29 03:32:29.541000+00:00,ajs-next-1777433549541-5d775b20-28e7-4d44-a9b8-929b3c0bd046,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,,,,,,,,,,,sidebar,true,,,,,,impression
Health & Wellness,2026-04-29 03:32:28.213000+00:00,ajs-next-1777433548213-51e1ad4d-5603-4990-97c2-eca5e3fff0f6,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,,,,,,,search
search,2026-04-29 03:34:32.152000+00:00,ajs-next-1777433672152-d79e86ac-43b9-42e5-b48e-6a1ca405ca4b,search,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Food%20%26%20Restaurants,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Food%20%26%20Restaurants,,,,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Food%20%26%20Restaurants,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Food%20%26%20Restaurants,search,search,,,,,,,,,page
index,2026-04-29 03:31:27.304000+00:00,ajs-next-1777433487304-577bbd84-978b-4a59-b04f-648e14692745,index,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,page
,2026-04-29 03:32:07.874000+00:00,ajs-next-1777433527874-8ab125bc-0aba-495d-bb1b-a29aaf5b10a4,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=Hair%20stylist&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Hair%20stylist&category=,,,,,,,,,,,,sidebar,true,,,,,,impression
,2026-04-29 03:32:08.179000+00:00,ajs-next-1777433528179-25bc0aba-695d-4b1b-a29a-af5b10a405a0,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=Hair%20stylist&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Hair%20stylist&category=,,,,,,,,,,,1771436045389x658317953644361100,main_list,true,,,,,,impression
,2026-04-29 03:34:24.361000+00:00,ajs-next-1777433664361-e0aa469a-ad65-4b7f-a5ce-216cb0324763,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=Hair&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Hair&category=Other,,,,,,,,,,,,sidebar,true,,,,,,impression
,2026-04-29 03:32:06.384000+00:00,ajs-next-1777433526384-4f648e14-6927-45b4-b4ec-1cf788cb2596,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,,Hair stylist,,,,,search
,2026-04-29 03:32:27.906000+00:00,ajs-next-1777433547906-804351e1-ad4d-4603-9990-57c2eca5e3ff,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,,,search,,,,button_click
search,2026-04-29 03:34:25.961000+00:00,ajs-next-1777433665961-0b7fe5ce-216c-4032-8763-b9bed79e86ac,search,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,,,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,search,search,,,,,,,,,page
,2026-04-29 03:34:26.264000+00:00,ajs-next-1777433666264-e5ce216c-b032-4763-b9be-d79e86ac43b9,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,,,,,,,,,,,sidebar,true,,,,,,impression
,2026-04-29 03:34:32.456000+00:00,ajs-next-1777433672456-86ac43b9-92e5-448e-aa1c-a405ca4b36cf,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Food%20%26%20Restaurants,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Food%20%26%20Restaurants,,,,,,,,,,,,sidebar,true,,,,,,impression
,2026-04-29 03:32:06.078000+00:00,ajs-next-1777433526078-59704f64-8e14-4927-85b4-34ec1cf788cb,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,,,search,,,,button_click
,2026-04-29 03:33:58.280000+00:00,ajs-next-1777433638280-f8f72d90-0e36-48e5-ac8a-51da6ae5d632,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/business_profile/beauty-by-zoie-1769635123521x385801932800474700,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/beauty-by-zoie-1769635123521x385801932800474700,,,,,,,,,,,1769635123521x385801932800474700,,,,visit_website,,,,button_click
,2026-04-29 03:33:38.288000+00:00,ajs-next-1777433618288-cd4469b8-929b-4c0b-9046-b35209f2898b,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,,,,,,,,,,,,,,search,,,,button_click
,2026-04-29 03:33:39.215000+00:00,ajs-next-1777433619215-3c0bd046-b352-49f2-898b-2a5cd674414e,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=Hair&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Hair&category=Other,,,,,,,,,,,,sidebar,true,,,,,,impression
,2026-04-29 03:34:24.668000+00:00,ajs-next-1777433664668-469aad65-0b7f-45ce-a16c-b0324763b9be,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=Hair&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Hair&category=Other,,,,,,,,,,,1750436264420x989591292213482400,main_list,true,,,,,,impression
index,2026-04-29 03:32:23.136000+00:00,ajs-next-1777433543136-83e1bd7f-8043-41e1-ad4d-5603599057c2,index,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,page
search,2026-04-29 03:33:38.911000+00:00,ajs-next-1777433618911-929b3c0b-d046-4352-89f2-898b2a5cd674,search,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=Hair&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Hair&category=Other,,,,/search,https://coloradocatholicbusinessdirectory.com/,?query=Hair&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Hair&category=Other,search,search,,,,,,,,,page
,2026-04-29 03:34:26.568000+00:00,ajs-next-1777433666568-216cb032-4763-49be-979e-86ac43b992e5,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,,,,,,,,,,,main_list,true,,,,,,impression
,2026-04-29 03:34:31.835000+00:00,ajs-next-1777433671835-b9bed79e-86ac-43b9-92e5-b48e6a1ca405,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,,,,,,,,Food & Restaurants,,,main_search,,,,,,,search
,2026-04-29 03:34:33.072000+00:00,ajs-next-1777433673072-92e5b48e-6a1c-4405-8a4b-36cf58c169ad,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Food%20%26%20Restaurants,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Food%20%26%20Restaurants,,,,,,,,,,,"1772982809798x739419868972941400, 1751749348389x952656707958261400, 1743549178851x847080663521240200",,false,,,,,,impression
,2026-04-29 03:31:27.647000+00:00,ajs-next-1777433487647-84978bea-5970-4f64-8e14-692745b434ec,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1744335958024x226211831616957250, 1753982403438x535213824960417500, 1771436045389x658317953644361100, 1750436264420x989591292213482400, 1770943484557x164806709481949200, 1751744301621x758526182685981300, 1744579851707x640487742075829500, 1752717497153x537286585580736960, 1753374338412x209529915103450200",,true,,,,,,impression
,2026-04-29 03:32:08.488000+00:00,ajs-next-1777433528488-0aba695d-fb1b-429a-af5b-10a405a00963,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=Hair%20stylist&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Hair%20stylist&category=,,,,,,,,,,,,,false,,,,,,impression
,2026-04-29 03:32:30.150000+00:00,ajs-next-1777433550150-28e7cd44-69b8-429b-bc0b-d046b35209f2,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,,,,,,,,,,"1771433486472x495156137805681660, 1746765568691x979794717919274100, 1772482882558x843076024552954900, 1746938798847x931997689495082400, 1744157592334x292550965261606100, 1744740154739x566945822952470660, 1747415704843x665338483592092500, 1749057953945x756346430245684600, 1746631267951x741803061642879500, 1753909381745x872991521395046100, 1764781838221x716772635359430500, 1776102250538x198432379819539760, 1749173974503x736079030141835600, 1747185390251x665604546429507900, 1777052217878x935579896985562900, 1761930377989x951815782791809400, 1761762460002x434978052003146300, 1764893879099x465248075524681500, 1751224250248x539537516841198200, 1747420152884x437771544876149700, 1745528732739x896561533370513300, 1762957766158x632118084948257900",,false,,,,,,impression
,2026-04-29 03:31:27.898000+00:00,ajs-next-1777433487898-8bea5970-4f64-4e14-a927-45b434ec1cf7,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1744335958024x226211831616957250, 1753982403438x535213824960417500, 1771436045389x658317953644361100, 1750436264420x989591292213482400, 1770943484557x164806709481949200, 1751744301621x758526182685981300, 1744579851707x640487742075829500, 1752717497153x537286585580736960, 1753374338412x209529915103450200",,true,,,,,,impression
search,2026-04-29 03:34:24.055000+00:00,ajs-next-1777433664055-618fe0aa-469a-4d65-8b7f-e5ce216cb032,search,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=Hair&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Hair&category=Other,,,,/search,https://coloradocatholicbusinessdirectory.com/,?query=Hair&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Hair&category=Other,search,search,,,,,,,,,page
,2026-04-29 03:33:39.521000+00:00,ajs-next-1777433619521-d046b352-09f2-498b-aa5c-d674414e11c7,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=Hair&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Hair&category=Other,,,,,,,,,,,1751744301621x758526182685981300,main_list,true,,,,,,impression
search,2026-04-29 03:32:07.569000+00:00,ajs-next-1777433527569-00008ab1-25bc-4aba-a95d-fb1ba29aaf5b,search,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=Hair%20stylist&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Hair%20stylist&category=,,,,/search,https://coloradocatholicbusinessdirectory.com/,?query=Hair%20stylist&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Hair%20stylist&category=,search,search,,,,,,,,,page
search,2026-04-29 03:32:29.238000+00:00,ajs-next-1777433549238-c18d5d77-5b20-48e7-8d44-69b8929b3c0b,search,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,,,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,search,search,,,,,,,,,page
,2026-04-29 03:34:31.528000+00:00,ajs-next-1777433671528-4763b9be-d79e-46ac-83b9-92e5b48e6a1c,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,,,,,,,,,,,,,,search,,,,button_click
,2026-04-29 03:32:23.598000+00:00,ajs-next-1777433543598-bd7f8043-51e1-4d4d-9603-599057c2eca5,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1771436045389x658317953644361100, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1751744301621x758526182685981300, 1750436264420x989591292213482400, 1770943484557x164806709481949200, 1753982403438x535213824960417500",,true,,,,,,impression
,2026-04-29 03:34:32.760000+00:00,ajs-next-1777433672760-43b992e5-b48e-4a1c-a405-ca4b36cf58c1,,,7bbd8497-8bea-4970-8f64-8e14692745b4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Food%20%26%20Restaurants,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Food%20%26%20Restaurants,,,,,,,,,,,,main_list,true,,,,,,impression
