category,originalTimestamp,messageId,name,anonymousId,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,button_name,location,event_type
how_it_works,2025-12-19 23:51:27.031000+00:00,ajs-next-1766188287031-260662a2-ae3a-409e-81a7-c3d6ea19ad26,how_it_works,0662a2ae-3a70-4e01-a7c3-d6ea19ad266c,,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1763388522681x909145588262314100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1763388522681x909145588262314100,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/1763388522681x909145588262314100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1763388522681x909145588262314100,how_it_works,how_it_works,,,,,page
start,2025-12-20 02:41:09.001000+00:00,ajs-next-1766198469001-620267de-a216-43c6-a6d6-7e94722f02b2,start,f229d98d-0854-487d-b717-41de3611f282,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",/start,https://coloradocatholicbusinessdirectory.com/,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,[],False,,/start,https://coloradocatholicbusinessdirectory.com/,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,start,start,,,,,page
start,2025-12-20 02:40:21.090000+00:00,ajs-next-1766198421090-ddda929e-9363-4edc-a197-bc7a42d2bbac,start,d2a42ee0-18d1-41b6-ba64-a18049af227d,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",/start,https://coloradocatholicbusinessdirectory.com/,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,[],False,,/start,https://coloradocatholicbusinessdirectory.com/,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,start,start,,,,,page
index,2025-12-20 02:40:35.620000+00:00,ajs-next-1766198435620-63f229d9-8d08-44f8-bdf7-1741de3611f2,index,f229d98d-0854-487d-b717-41de3611f282,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,page
,2025-12-20 02:40:14.659000+00:00,ajs-next-1766198414659-68728061-0448-4562-b407-2943a219de83,,37a26872-8061-4448-b562-f4072943a219,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1753982403438x535213824960417500, 1752717497153x537286585580736960, 1743547621069x279645472884266780, 1743549178851x847080663521240200, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1744579851707x640487742075829500, 1753374338412x209529915103450200",true,,,impression
index,2025-12-20 02:39:46.705000+00:00,ajs-next-1766198386705-ead2a42e-e018-4161-b63a-64a18049af22,index,d2a42ee0-18d1-41b6-ba64-a18049af227d,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,page
,2025-12-20 02:41:05.672000+00:00,ajs-next-1766198465672-f87df717-41de-4611-b282-e4c2bfb152b1,,f229d98d-0854-487d-b717-41de3611f282,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,,,,,,,login,navbar,button_click
,2025-12-20 02:39:46.715000+00:00,ajs-next-1766198386715-2ee018d1-61b6-4a64-a180-49af227da210,,d2a42ee0-18d1-41b6-ba64-a18049af227d,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,,,,,"1753374338412x209529915103450200, 1744579851707x640487742075829500, 1743547621069x279645472884266780, 1744335958024x226211831616957250, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1750436264420x989591292213482400, 1752717497153x537286585580736960",true,,,impression
,2025-12-20 02:40:35.931000+00:00,ajs-next-1766198435931-0854f87d-f717-41de-b611-f282e4c2bfb1,,f229d98d-0854-487d-b717-41de3611f282,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,,,,,"1750436264420x989591292213482400, 1743547621069x279645472884266780, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1743549178851x847080663521240200, 1744579851707x640487742075829500, 1753982403438x535213824960417500, 1753374338412x209529915103450200",true,,,impression
,2025-12-20 02:40:35.823000+00:00,ajs-next-1766198435823-d98d0854-f87d-4717-81de-3611f282e4c2,,f229d98d-0854-487d-b717-41de3611f282,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,,,,,"1750436264420x989591292213482400, 1743547621069x279645472884266780, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1743549178851x847080663521240200, 1744579851707x640487742075829500, 1753982403438x535213824960417500, 1753374338412x209529915103450200",true,,,impression
,2025-12-20 02:39:47.012000+00:00,ajs-next-1766198387012-18d161b6-3a64-4180-89af-227da2103e70,,d2a42ee0-18d1-41b6-ba64-a18049af227d,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,,,,,"1753374338412x209529915103450200, 1744579851707x640487742075829500, 1743547621069x279645472884266780, 1744335958024x226211831616957250, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1750436264420x989591292213482400, 1752717497153x537286585580736960",true,,,impression
,2025-12-20 02:40:17.227000+00:00,ajs-next-1766198417227-61b63a64-a180-49af-a27d-a2103e70336a,,d2a42ee0-18d1-41b6-ba64-a18049af227d,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,,,,,,,login,navbar,button_click
index,2025-12-20 02:40:14.167000+00:00,ajs-next-1766198414167-3737a268-7280-4104-8835-62f4072943a2,index,37a26872-8061-4448-b562-f4072943a219,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,page
index,2025-12-20 03:56:13.461000+00:00,ajs-next-1766202973461-aaaaf032-be0b-4446-86b0-b5d2b65a4a13,index,aaf032be-0b24-4606-b0b5-d2b65a4a1335,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,page
,2025-12-20 03:56:13.869000+00:00,ajs-next-1766202973869-0b244606-b0b5-42b6-9a4a-1335bdba1d45,,aaf032be-0b24-4606-b0b5-d2b65a4a1335,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,,,,,"1753982403438x535213824960417500, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1743547621069x279645472884266780, 1744335958024x226211831616957250, 1753374338412x209529915103450200, 1743549178851x847080663521240200",true,,,impression
,2025-12-20 03:56:13.641000+00:00,ajs-next-1766202973641-32be0b24-4606-40b5-92b6-5a4a1335bdba,,aaf032be-0b24-4606-b0b5-d2b65a4a1335,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,,,,,"1753982403438x535213824960417500, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1743547621069x279645472884266780, 1744335958024x226211831616957250, 1753374338412x209529915103450200, 1743549178851x847080663521240200",true,,,impression
profile,2025-12-20 21:18:21.690000+00:00,ajs-next-1766265501690-3f44a90b-bbe4-4ffd-ab43-4afb1cec4c61,business_profile,44a90bbb-e42f-4deb-834a-fb1cec4c619b,,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/business_profile/federico-montoya---loan-officer-1765991015203x350068785849064760,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/federico-montoya---loan-officer-1765991015203x350068785849064760,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/business_profile/federico-montoya---loan-officer-1765991015203x350068785849064760,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/federico-montoya---loan-officer-1765991015203x350068785849064760,profile,business_profile,1765991015203x350068785849064760,,,,page
how_it_works,2025-12-21 09:49:38.210000+00:00,ajs-next-1766310578210-6fc31ac2-d8c6-435e-9136-bcf481efc2d7,how_it_works,c31ac2d8-c663-4e11-b6bc-f481efc2d7f9,,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1763033729918x320330481367248060,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1763033729918x320330481367248060,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/1763033729918x320330481367248060,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1763033729918x320330481367248060,how_it_works,how_it_works,,,,,page
