anonymousId,originalTimestamp,userId,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,button_name,business_id,location,sponsored_listing,category,name,path,referrer,search,title,url,category_properties,name_properties,search_text,userAgentData.brands,userAgentData.mobile,userAgentData.platform,email,event_type
39b9e148-9871-4dae-8fe9-b1f5845d3932,2025-08-13 23:41:10.077000+00:00,1743547621069x279645472884266780,ajs-next-1755128470077-093c6a24-598b-43dc-84e4-2a3fe1d710e4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,search,,,,,,,,,,,,,,,,,,button_click
39b9e148-9871-4dae-8fe9-b1f5845d3932,2025-08-13 23:41:12.007000+00:00,1743547621069x279645472884266780,ajs-next-1755128472007-5ad6af94-abf6-4a29-b425-ecc37805ee22,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,,,sidebar,true,,,,,,,,,,,,,,,impression
39b9e148-9871-4dae-8fe9-b1f5845d3932,2025-08-13 23:41:07.523000+00:00,1743547621069x279645472884266780,ajs-next-1755128467523-3fa5093c-6a24-498b-83dc-c4e42a3fe1d7,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,"1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744335958024x226211831616957250",,true,,,,,,,,,,,,,,,impression
39b9e148-9871-4dae-8fe9-b1f5845d3932,2025-08-13 23:41:12.309000+00:00,1743547621069x279645472884266780,ajs-next-1755128472309-af94abf6-9a29-4425-acc3-7805ee223912,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,,1750436264420x989591292213482400,main_list,true,,,,,,,,,,,,,,,impression
39b9e148-9871-4dae-8fe9-b1f5845d3932,2025-08-13 23:41:07.522000+00:00,1743547621069x279645472884266780,ajs-next-1755128467522-ffef3fa5-093c-4a24-998b-43dcc4e42a3f,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,"1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744335958024x226211831616957250",,true,,,,,,,,,,,,,,,impression
39b9e148-9871-4dae-8fe9-b1f5845d3932,2025-08-13 23:41:11.705000+00:00,1743547621069x279645472884266780,ajs-next-1755128471705-e8135ad6-af94-4bf6-9a29-7425ecc37805,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,,,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,search,search,,,,,,page
39b9e148-9871-4dae-8fe9-b1f5845d3932,2025-08-13 23:41:06.971000+00:00,1743547621069x279645472884266780,ajs-next-1755128466971-c16cffef-3fa5-493c-aa24-598b43dcc4e4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,index,index,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
39b9e148-9871-4dae-8fe9-b1f5845d3932,2025-08-13 23:41:12.613000+00:00,1743547621069x279645472884266780,ajs-next-1755128472613-abf69a29-7425-4cc3-b805-ee2239124022,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,,"1747864432460x772931238395911000, 1744736810207x919925185055488400, 1753135741395x558904608479141570, 1747185390251x665604546429507900, 1744157592334x292550965261606100, 1751224250248x539537516841198200, 1746765568691x979794717919274100, 1749580724532x760028975589297300, 1745273541628x945470626229355500, 1754084205128x675147807630683600, 1747827548541x313848517899538500, 1744579851707x640487742075829500, 1752687366861x422755081931784260, 1747183179554x540122160625888100, 1744134674881x127285411168640110, 1750784475796x702583457937545900, 1754949567759x639105313824555300, 1746635677548x343522492232585660, 1744760380914x558772773612561600, 1753985929691x853149258569598100, 1744397288473x909294892772270800, 1751749348389x952656707958261400, 1747165674437x491901038958021200, 1743547361284x291138005899707260, 1750783679107x801419812763124500, 1749057953945x756346430245684600, 1744751205492x235134337285239230, 1753911193017x504194995643152640, 1747420152884x437771544876149700, 1744335958024x226211831616957250, 1746938798847x931997689495082400, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1754624056001x759184470890143000, 1746467711533x453074785848415400, 1748581534531x956271769254002200, 1744743906400x631087870982087000, 1747398900475x598159844147748100, 1744282156200x727555159743162000, 1751402056748x637551618886434600, 1749742920378x965836759111504900, 1745597587022x519433479989605000, 1754505203290x671062062407191900, 1748365021326x105262688542451250, 1744737250347x219277345743008400, 1753374338412x209529915103450200, 1747216018889x770977089491677400, 1744175271939x575064790204550460, 1751319669665x621437589169731200, 1746827109704x963221719337950200, 1745528732739x896561533370513300, 1747848709032x210920410073364830, 1744643921578x315333816253624100, 1752717497153x537286585580736960, 1747184079669x994211808429350800, 1750785338983x949958887494882000, 1749173974503x736079030141835600, 1744907031541x119079844893356540, 1754081360962x724252535884739300, 1744398484109x785674167096991400, 1752182630575x854371423894944000, 1747170561218x640297169073643000, 1750784029587x963255839088365200, 1754941249648x796792188496967000, 1746631267951x741803061642879500, 1749068120323x412920063824988600, 1753982403438x535213824960417500, 1747594874125x270237571814453630, 1744391553368x301043576290850300, 1751744301621x758526182685981300, 1747163465846x476237095610093000, 1743549178851x847080663521240200, 1750783674403x491887953737125700, 1754927931120x470668069008822300, 1746548006831x128230088489826860, 1744748222708x779656090283929300, 1753909381745x872991521395046100, 1747415704843x665338483592092500, 1744319857648x144922844539837200, 1751425811600x127124815802215140, 1746855895334x711816173120128000, 1750423781412x480534435350699700, 1748389292320x918627677903932400, 1744740154739x566945822952470660, 1753465897836x101289632151690960, 1747221865162x703532834449508000, 1744260813114x505427712482621440, 1746843461447x686795565273950000, 1745533127765x291393362647413700",,false,,,,,,,,,,,,,,,impression
39b9e148-9871-4dae-8fe9-b1f5845d3932,2025-08-13 23:41:10.382000+00:00,1743547621069x279645472884266780,ajs-next-1755128470382-6a24598b-43dc-44e4-aa3f-e1d710e48d30,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,,,,,,,search
f3ea34ea-f6dd-477d-a0fb-3d030270de4d,2025-08-14 02:43:03.661000+00:00,,ajs-next-1755139383661-577de0fb-3d03-4270-9e4d-10b49d4b8ead,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,search,,,,,,,,,,,,,,,,,,button_click
f3ea34ea-f6dd-477d-a0fb-3d030270de4d,2025-08-14 02:43:05.793000+00:00,,ajs-next-1755139385793-5b719ff3-66b1-4a28-909c-ac4cdaf2b4ce,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,search,search,,,,,,page
f3ea34ea-f6dd-477d-a0fb-3d030270de4d,2025-08-14 02:42:53.594000+00:00,,ajs-next-1755139373594-f6dd577d-e0fb-4d03-8270-de4d10b49d4b,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,"1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1743549178851x847080663521240200",,true,,,,,,,,,,,,,,,impression
f3ea34ea-f6dd-477d-a0fb-3d030270de4d,2025-08-14 02:43:06.403000+00:00,,ajs-next-1755139386403-66b1ca28-d09c-4c4c-9af2-b4ce4196a26a,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,1753982403438x535213824960417500,main_list,true,,,,,,,,,,,,,,,impression
f3ea34ea-f6dd-477d-a0fb-3d030270de4d,2025-08-14 02:42:53.128000+00:00,,ajs-next-1755139373128-bdf3ea34-eaf6-4d57-bde0-fb3d030270de,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,index,index,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
f3ea34ea-f6dd-477d-a0fb-3d030270de4d,2025-08-14 02:43:32.780000+00:00,,ajs-next-1755139412780-afb25007-e27a-4d02-8881-ebd9c77137cc,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,index,index,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
f3ea34ea-f6dd-477d-a0fb-3d030270de4d,2025-08-14 02:43:06.708000+00:00,,ajs-next-1755139386708-ca28d09c-ac4c-4af2-b4ce-4196a26ac6fb,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,"1746635677548x343522492232585660, 1746827109704x963221719337950200, 1750785338983x949958887494882000, 1750784029587x963255839088365200, 1753982403438x535213824960417500, 1744391553368x301043576290850300, 1753135741395x558904608479141570, 1744134674881x127285411168640110",,false,,,,,,,,,,,,,,,impression
f3ea34ea-f6dd-477d-a0fb-3d030270de4d,2025-08-14 02:43:33.413000+00:00,,ajs-next-1755139413413-5007e27a-6d02-4881-abd9-c77137cca42e,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,"1753374338412x209529915103450200, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400",,true,,,,,,,,,,,,,,,impression
f3ea34ea-f6dd-477d-a0fb-3d030270de4d,2025-08-14 02:43:06.098000+00:00,,ajs-next-1755139386098-9ff366b1-ca28-409c-ac4c-daf2b4ce4196,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,,sidebar,true,,,,,,,,,,,,,,,impression
f3ea34ea-f6dd-477d-a0fb-3d030270de4d,2025-08-14 02:42:53.592000+00:00,,ajs-next-1755139373592-34eaf6dd-577d-40fb-bd03-0270de4d10b4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,"1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1743549178851x847080663521240200",,true,,,,,,,,,,,,,,,impression
f3ea34ea-f6dd-477d-a0fb-3d030270de4d,2025-08-14 02:43:03.972000+00:00,,ajs-next-1755139383972-e0fb3d03-0270-4e4d-90b4-9d4b8ead82ee,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,Finance,,,,,,,,,,,,,,search
aac6aa0a-a12e-4efd-8644-80c6b7a23b0c,2025-08-14 16:38:20.841000+00:00,,ajs-next-1755189500841-89745709-28cb-4519-b196-52e5f78c13d3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,index,index,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",False,Windows,,page
